Date,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Target country,Strikes in Iraq,Strikes in Syria,Location 1,Location 2,Aircraft type,Number of aircrafts,Ammunition,Target 1,No of target 1,Status of target 1,Target 2,No of target 2,Status of target 2,Target 3,No of target 3,Status of target 3,Target 4,No of target 4,Status of target 4,Target 5,No of target 5,Status of target 5,Target 6,No of target 6,Status of target 6,Target 7,No of target 7,Status of target 7,Target 8,No of target 8,Status of target 8,Target 9,No of target 9,Status of target 9,Target 10,No of target 10,Status of target 10,Casualties?,Casualties estimate
2014-11-19T00:00:00Z,USA,,,,,,Syria,,1,Haram,,Fighter and bomber,,,Storage location,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,5,,Bayji,,"Attack, bomber, fighter, and remotely piloted aircraft",,,,,,Bunker,1,Destroyed,Transport vehicle,2,Destroyed,Tactical unit,5,Destroyed,Checkpoint,1,Destroyed,Building,1,Damaged,,,,,,,,,,,,,,
2014-11-21T00:00:00Z,UK,,,,,,Iraq,1,,Bayji,,Attack,1,Paveway IV guided bomb,Building,3,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,4,,Sinjar,,"Attack, bomber, fighter, and remotely piloted aircraft",,,Barracks,2,Destroyed,Bunker,1,Destroyed,Guard outpost,1,Destroyed,Armored vehicle,8,Destroyed,Truck,1,Destroyed,Tactical unit,2,Destroyed,,,,,,,,,,,,,,
2014-11-21T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,3,,Kirkuk,,"Attack, bomber, fighter, and remotely piloted aircraft",,,Bunker,5,Destroyed,Vehicle,2,Destroyed,Tactical unit,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,4,,Al Asad,,"Attack, bomber, fighter, and remotely piloted aircraft",,,Vehicle,4,Destroyed,Building,1,Destroyed,Tactical unit,3,Unknown,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,3,,Mosul,,"Attack, bomber, fighter, and remotely piloted aircraft",,,Guard post,1,Destroyed,Vehicle,1,Destroyed,Tactical unit,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,2,,Ramadi,,"Attack, bomber, fighter, and remotely piloted aircraft",,,Vehicle,1,Destroyed,Tactical unit,1,Destroyed,Armored vehicle,1,Damaged,Building,1,Damaged,,,,,,,,,,,,,,,,,,,,
2014-11-21T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Tal Afar,,"Attack, bomber, fighter, and remotely piloted aircraft",,,Airfield,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21T00:00:00Z,USA,,,,,,Syria,,6,Kobane,,Fighter and bomber,,,Staging area,4,Destroyed,Building,2,Destroyed,Tactical unit,2,Destroyed,Fighting position,1,Suppressed,,,,,,,,,,,,,,,,,,,,
2014-11-21T00:00:00Z,USA,,,,,,Syria,,1,Ar Raqaah,,Fighter and bomber,,,Barracks,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24T00:00:00Z,USA,partner nation forces,,,,,Iraq,5,,Mosul,,"Attack, bomber, fighter, and remotely piloted aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24T00:00:00Z,USA,partner nation forces,,,,,Iraq,2,,Al Asad,,"Attack, bomber, fighter, and remotely piloted aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24T00:00:00Z,USA,partner nation forces,,,,,Iraq,2,,Bagdhad,,"Attack, bomber, fighter, and remotely piloted aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24T00:00:00Z,USA,partner nation forces,,,,,Iraq,2,,Ramadi,,"Attack, bomber, fighter, and remotely piloted aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24T00:00:00Z,USA,partner nation forces,,,,,Iraq,2,,Tal Afar,,"Attack, bomber, fighter, and remotely piloted aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24T00:00:00Z,USA,partner nation forces,,,,,Iraq,1,,Fallujah Dam,,"Attack, bomber, fighter, and remotely piloted aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24T00:00:00Z,USA,partner nation forces,,,,,Iraq,1,,Hit,,"Attack, bomber, fighter, and remotely piloted aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24T00:00:00Z,USA,partner nation forces,,,,,Syria,,7,Kobane,,Fighter and bomber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24T00:00:00Z,USA,partner nation forces,,,,,Syria,,2,Ar Raqaah,,Fighter and bomber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26T00:00:00Z,USA,partner nation forces,,,,,Iraq,2,,Mosul,,"Attack, fighter, and remotely piloted aircraft",,,Bulldozer,1,Destroyed,Vehicle,2,Destroyed,Building,3,Destroyed,Fighting position,1,Destroyed,Unit,1,Unknown,,,,,,,,,,,,,,,,,
2014-11-26T00:00:00Z,USA,partner nation forces,,,,,Iraq,2,,Kirkuk,,"Attack, fighter, and remotely piloted aircraft",,,Tank,1,Destroyed,Humvee,1,Destroyed,Vehicle,1,Destroyed,Unit,2,Unknown,,,,,,,,,,,,,,,,,,,,
2014-11-26T00:00:00Z,USA,partner nation forces,,,,,Iraq,1,,Sinjar,,"Attack, fighter, and remotely piloted aircraft",,,Humvee,1,Destroyed,Vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26T00:00:00Z,USA,partner nation forces,,,,,Iraq,1,,Ramadi,,"Attack, fighter, and remotely piloted aircraft",,,Checkpoint,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26T00:00:00Z,USA,partner nation forces,,,,,Iraq,1,,Bayji,,"Attack, fighter, and remotely piloted aircraft",,,Vehicle,1,Destroyed,Vehicle,1,Damaged,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-26T00:00:00Z,USA,,,,,,Syria,,10,Kobane,,Fighter and bomber,,,Fighting position,1,Unknown,Unit,1,Unknown,Staging area,4,Destroyed,Fighting position,6,Destroyed,,,,,,,,,,,,,,,,,,,,
2014-11-28T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,5,,Kirkuk,,"Fighter, attack, and remotely piloted aircraft",,,Bunker,5,Destroyed,Vehicle,4,Destroyed,Bulldozer,1,Destroyed,Fighting position,1,Destroyed,Unit,1,Unknown,Tactical unit,4,Unknown,,,,,,,,,,,,,,
2014-11-28T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,2,,Mosul,,"Fighter, attack, and remotely piloted aircraft",,,Vehicle,5,Destroyed,Heavy weapon,1,Destroyed,Unit,2,Unknown,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Ramadi,,"Fighter, attack, and remotely piloted aircraft",,,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Ar Rutbah,,"Fighter, attack, and remotely piloted aircraft",,,Vehicle,7,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Fallujah,,"Fighter, attack, and remotely piloted aircraft",,,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,2,,Al Qaim,,"Fighter, attack, and remotely piloted aircraft",,,Fighting position,1,Destroyed,Armored truck,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Bayji,,"Fighter, attack, and remotely piloted aircraft",,,Tactical unit,1,Unknown,Vehicle,1,Unknown,Building,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28T00:00:00Z,USA,,,,,,Syria,,1,Kobane,,Bomber and remotely piloted aircraft,,,Fighting position,1,Unknown,Staging area,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-28T00:00:00Z,USA,,,,,,Syria,,1,Aleppo,,Bomber and remotely piloted aircraft,,,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,13,,Mosul,,"Attack, fighter, and remotely piloted aircraft",,,Tactical unit,4,Destroyed,Unit,2,Destroyed,Fighting position,2,Destroyed,Armored vehicle,3,Destroyed,Vehicle,7,Destroyed,Truck,2,Destroyed,Bulldozer,1,Destroyed,Heavy machine-gun,1,Destroyed,Mortar position,1,Destroyed,Anti-aircraft artillery,1,Destroyed,,
2014-12-01T00:00:00Z,France,,,,,,Iraq,1,,Sinjar,,Attack,,GBU 12,Checkpoint,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,5,,Tal Afar,,"Attack, fighter, and remotely piloted aircraft",,Brimstone missiles,Vehicle,19,Destroyed,Bunker,2,Destroyed,Compound,1,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,
2014-12-01T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,3,,Hit,,"Attack, fighter, and remotely piloted aircraft",,,Checkpoint,1,Destroyed,Bunker,1,Destroyed,Excavator,1,Destroyed,Tactical unit,1,Unknown,Checkpoint,1,Damaged,,,,,,,,,,,,,,,,,
2014-12-01T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,2,,Tal Talab,,"Attack, fighter, and remotely piloted aircraft",,,Fighting position,3,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,2,,Tikrit,,"Attack, fighter, and remotely piloted aircraft",,Brimstone missiles,Vehicle,3,Destroyed,Unit,2,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,1,,Kirkuk,,"Attack, fighter, and remotely piloted aircraft",,,Vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,1,,Ramadi,,"Attack, fighter, and remotely piloted aircraft",,,Vehicle,1,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01T00:00:00Z,USA,,,,,,Syria,,17,Kobane,,"Fighter, bomber, remotely piloted aircraft",,,Building,2,Destroyed,Tank,3,Destroyed,Fighting position,3,Destroyed,APC,1,Destroyed,Vehicle,3,Destroyed,Staging area,2,Destroyed,Tactical unit,7,Unknown,Fighting position,6,Unknown,Building,1,Damaged,,,,,
2014-12-01T00:00:00Z,USA,,,,,,Syria,,9,Ar Raqaah,,"Fighter, bomber, remotely piloted aircraft",,,Electronic warfare garrison,1,Unknown,Military garrison,1,Unknown,Headquarters,1,Unknown,Jamming system,1,Unknown,Tank,1,Unknown,Vehicle,14,Unknown,,,,,,,,,,,,,,
2014-12-01T00:00:00Z,USA,,,,,,Syria,,1,Aleppo,,"Fighter, bomber, remotely piloted aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,4,,Mosul,,"Fighter, attack, and remotely piloted aircraft",,,Bunker,5,Destroyed,Building,2,Destroyed,Vehicle,1,Destroyed,Fighting position,1,Destroyed,Heavy weapon,2,Destroyed,,,,,,,,,,,,,,,,,
2014-12-03T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,2,,Ramadi,,"Fighter, attack, and remotely piloted aircraft",,,Vehicle,4,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Tal Afar,,"Fighter, attack, and remotely piloted aircraft",,,Excavator,1,Destroyed,Unit,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Sinjar,,"Fighter, attack, and remotely piloted aircraft",,,Building,4,Destroyed,Tractor,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Hit,,"Fighter, attack, and remotely piloted aircraft",,,Vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Al Qaim,,"Fighter, attack, and remotely piloted aircraft",,,Vehicle,4,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Fallujah,,"Fighter, attack, and remotely piloted aircraft",,,Vehicle,12,Destroyed,Weapon facility,2,Destroyed,Tactical unit,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-12-03T00:00:00Z,USA,,,,,,Syria,,14,Kobane,,Fighter and bomber,,,Vehicle,1,Destroyed,Fighting position,17,Destroyed,Staging area,1,Destroyed,Fighting position,8,Suppressed,Unit,1,Unknown,,,,,,,,,,,,,,,,,
2014-12-05T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,4,,Al Qaim,,"Fighter, attack, and remotely piloted aircraft",,,Checkpoint,4,Destroyed,Armored truck,4,Destroyed,Bunker,4,Destroyed,Fortifications,5,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,
2014-12-05T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,3,,Kirkuk,,"Fighter, attack, and remotely piloted aircraft",,,Building,1,Destroyed,IED emplacement,2,Destroyed,Tactical unit,3,Unknown,,,,,,,,,,,,,,,,,,,,,,,
2014-12-05T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,2,,Samarra,,"Fighter, attack, and remotely piloted aircraft",,,Fighting position,1,Destroyed,Tactical unit,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-05T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,2,,Tal Afar,,"Fighter, attack, and remotely piloted aircraft",,,Bunker,2,Destroyed,Fortification,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-05T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,1,,Mosul,,"Fighter, attack, and remotely piloted aircraft",,,Bunker,9,Destroyed,Heavy weapon,7,Destroyed,Vehicle,1,Destroyed,Unit,2,Unknown,,,,,,,,,,,,,,,,,,,,
2014-12-05T00:00:00Z,Canada,,,,,,Iraq,1,,Mosul,,Attack,,,Bunker,2,Destroyed,Heavy machine gun,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-05T00:00:00Z,UK,,,,,,Iraq,1,,Fallujah,,Attack,2,Paveway IV guided bomb,Tactical unit,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-05T00:00:00Z,USA,,,,,,Syria,,5,Kobane,,Attack and bomber,,,Fighting position,6,Destroyed,Heavy weapon,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-05T00:00:00Z,USA,,,,,,Syria,,1,Dayr az Zawr,,Attack and bomber,,,Vehicle,3,Destroyed,Excavators,1,Destroyed,Training camp,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,6,,Kirkuk,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Excavator,2,Destroyed,Bulldozer,1,Destroyed,Bunker,1,Destroyed,Ammunition dump,1,Destroyed,Excavator,1,Unknown,Fighting position,1,Suppressed,Tactical unit,1,Unknown,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,4,,Al Biaj,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Armored vehicle,4,Destroyed,Checkpoint,1,Destroyed,Storage container,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,3,,Sinjar,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Building,6,Destroyed,Storage container,7,Destroyed,Fighting position,2,Destroyed,Excavator,1,Destroyed,Bunker,1,Unknown,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,UK,,,,,,,,,Sinjar,,Attack,,Brimstone missiles,APC,2,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,4,,Mosul,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Excavator,1,Destroyed,Vehicle,1,Destroyed,Heavy weapon,1,Destroyed,Tactical unit,2,Unknown,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Al Qaim,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Observation post,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,UK,,,,,,,2,,Rawah,,Attack,,Paveway IV guided bomb,Observation post,1,Destroyed,Armored vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,3,,Tal Afar,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Armored vehicle,7,Destroyed,Bulldozer,1,Destroyed,Excavator,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,3,,Ramadi,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Building,1,Destroyed,Front loader,1,Destroyed,Unit,2,Unknown,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,2,,Bayji,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Building,1,Destroyed,Tactical unit,2,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Rawah,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Tank,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Hit,,"Fighter, bomber, attack, and remotely piloted aircraft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-08T00:00:00Z,USA,,,,,,Syria,,14,Kobane,,Fighter and bomber,,,Fighting position,4,Destroyed,Building,3,Destroyed,Staging area,2,Destroyed,Tank,2,Destroyed,Motorcycle,1,Destroyed,Mortar,1,Destroyed,Tactical unit,8,Unknown,Fighting position,2,Unknown,,,,,,,,
2014-12-08T00:00:00Z,USA,,,,,,Syria,,1,Ar Raqaah,,Fighter and bomber,,,Electronic warfare garrison,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-10T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,3,,Sinjar,,"Fighter, attack, and remotely piloted aircraft",,,Building,4,Destroyed,Storage container,3,Destroyed,Fighting position,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-12-10T00:00:00Z,UK,,,,,,Iraq,1,,Sinjar,,Attack,,Brimstone missiles,Guard tower,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-10T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,3,,Al Qaim,,"Fighter, attack, and remotely piloted aircraft",,,Storage container,1,Destroyed,Armored truck,1,Destroyed,Bunker,2,Unknown,Armored vehicle,2,Unknown,APC,2,Unknown,,,,,,,,,,,,,,,,,
2014-12-10T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,2,,Ramadi,,"Fighter, attack, and remotely piloted aircraft",,,Armored vehicle,1,Destroyed,Heavy weapon,1,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,
2014-12-10T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,2,,Mosul,,"Fighter, attack, and remotely piloted aircraft",,,Building,2,Destroyed,Bunker,1,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,
2014-12-10T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Samarra,,"Fighter, attack, and remotely piloted aircraft",,,Vehicle,2,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-10T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Kirkuk,,"Fighter, attack, and remotely piloted aircraft",,,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-10T00:00:00Z,USA,,,,,,Syria,,7,Kobane,,Fighter and bomber,,,Fighting position,5,Destroyed,Fighting position,3,Unknown,Unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,4,,Sinjar,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Armored vehicle,1,Destroyed,Storage container,2,Destroyed,Armored vehicle,1,Unknown,Checkpoint,1,Unknown,,,,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,4,,Ramadi,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Excavator,1,Destroyed,Vehicle,5,Destroyed,Building,1,Unknown,Unit,3,Unknown,,,,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,3,,Ar Rutbah,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Bulldozer,2,Destroyed,Storage container,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,3,,Mosul,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Bunker,1,Destroyed,Bulldozer,1,Destroyed,Excavator,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,3,,Al Qaim,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Vehicle,4,Destroyed,Building,2,Destroyed,Storage container,1,Destroyed,Guard towers,1,Destroyed,Bunker,1,Destroyed,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Samarra,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,UK,,,,,,Iraq,1,,Rawah,,"Fighter, bomber, attack, and remotely piloted aircraft",,Paveway IV guided bomb,Guard shack,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,USA,partner nation forces inc. UK,,,,,Iraq,1,,Al Asad,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Staging area,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,USA,partner nation forces,,,,,Syria,,5,Kobane,,Fighter and bomber,,,Fighting position,5,Destroyed,Fighting position,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,USA,partner nation forces,,,,,Syria,,1,Aleppo,,Fighter and bomber,,,Building,5,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-12T00:00:00Z,USA,partner nation forces,,,,,Syria,,1,Al Qaim,,Fighter and bomber,,,Fortification,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15T00:00:00Z,USA,partner nation forces inc. UK and France,,,,,Iraq,3,,Mosul,,France,,,Fighting position,1,Destroyed,Tactical unit,3,Unknown,Heavy machine-gun,1,Suppressed,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15T00:00:00Z,USA,partner nation forces inc. UK and France,,,,,Iraq,1,,Sinjar,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Compound,1,Destroyed,Compound,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15T00:00:00Z,USA,partner nation forces inc. UK and France,,,,,Iraq,1,,Hit,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Vehicle,1,Destroyed,Excavators,1,Destroyed,Trailer,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15T00:00:00Z,USA,partner nation forces inc. UK and France,,,,,Iraq,1,,Al Qaim,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Excavator,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15T00:00:00Z,UK,,,,,,Iraq,1,,Ramadi,,Remotely piloted aircraft,1,Hellfire missile,Vehicle,2,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15T00:00:00Z,USA,partner nation forces inc. UK and France,,,,,Iraq,1,,Samarra,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15T00:00:00Z,USA,partner nation forces inc. UK and France,,,,,Iraq,1,,Kirkuk,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Vehicle,1,Destroyed,Bunker,1,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,
2014-12-15T00:00:00Z,USA,partner nation forces,,,,,Syria,,8,Kobane,,Fighter and bomber,,,Fighting position,9,Destroyed,Building,2,Destroyed,Staging area,2,Destroyed,Fighting position,1,Unknown,,,,,,,,,,,,,,,,,,,,
2014-12-15T00:00:00Z,USA,partner nation forces,,,,,Syria,,1,Abu Kamal,,Fighter and bomber,,,Vehicle,1,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-17T00:00:00Z,USA,"partner nation forces inc. France, Canada, UK",,,,,Iraq,6,,Mosul,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Heavy machine gun,2,Destroyed,Building,3,Destroyed,Mortar position,1,Destroyed,Bulldozer,1,Destroyed,Bunker,1,Destroyed,Unit,1,Unknown,Tactical unit,1,Unknown,,,,,,,,,,,
2014-12-17T00:00:00Z,Canada,,,,,,Iraq,2,,Mosul,,Fighter,,Precision guided munitions,Fighting position,2,Destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-17T00:00:00Z,USA,partner nation forces inc. Canada and UK,,,,,Iraq,2,,Tal Afar,,"Fighter, bomber, attack, and remotely piloted aircraft",,,Building,1,Destroyed,Bridge,3,Destroyed,Tactical unit,1,Unknown,,,,,,,,,,,,,,,,,,,,,,,
